source,id,name,businessName,title,sector,subSector,industry,location,district,address,phone,email,emails,website,score,enrichmentLevel,validationStatus,whatsapp,review_count,review_rating,latitude,longitude,place_id,socialLinks,slug,createdAt
existing_db,MG-768e7caf-053,Faxter,Faxter,,logistics,,logistics / AI SaaS,"Jabi, Abuja",Jabi,,+2349085287243,,,,,,,,,,,,,"Facebook, LinkedIn",faxter,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-056,General and Health Logistics Intl,General and Health Logistics Intl,,logistics,,logistics,"Idu, Abuja",Idu,,+2348033039280,,,,,,,,,,,,,"LinkedIn, Facebook",general-and-health-logistics-intl,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-072,,Jld Logistics Services,,,,logistics,"Kubwa, Abuja",,,,,,,,,,,,,,,,None found,jld-logistics-services,
existing_db,MG-768e7caf-075,,Khome Global Logistics,,,,logistics,"Dutse, Abuja",,,,,,,,,,,,,,,,"Facebook, LinkedIn",khome-global-logistics,
existing_db,MG-768e7caf-084,Malez Movers and Logistics,Malez Movers and Logistics,,logistics,,logistics / moving and relocation,"Gwarimpa, Abuja",Gwarimpa,,+2348036996812,,,,,,,,,,,,,WhatsApp,malez-movers-and-logistics,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-087,Messenger Nigeria,Messenger Nigeria,,logistics,,logistics / last-mile delivery,Abuja,Abuja,,+2348074949847,,,,,,,,,,,,,"LinkedIn, Twitter, Facebook",messenger-nigeria,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-092,Nairaxi,Nairaxi,,logistics,,logistics / transport technology,"Wuse, Abuja",Wuse,,+2348053682130,,,,,,,,,,,,,"LinkedIn, Twitter, Facebook, Instagram, YouTube",nairaxi,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-115,,Red Star Express Abuja,,,,logistics / courier and freight,"Wuse, Abuja",,,,,,,,,,,,,,,,"LinkedIn, Twitter, Facebook, Instagram",red-star-express-abuja,
existing_db,MG-768e7caf-127,SMWdrivers,SMWdrivers,,logistics,,logistics / driver-platform,"Wuse, Abuja",Wuse,,+2349071155555,,,,,,,,,,,,,Facebook,smwdrivers,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-134,,SimmySally Haulage & Logistics,,,,logistics / haulage,"Garki, Abuja",,,,,,,,,,,,,,,,Facebook,simmysally-haulage-and-logistics,
existing_db,MG-768e7caf-135,Simpres Logistics and Co Ltd,Simpres Logistics and Co Ltd,,logistics,,logistics / car rental,"Jahi, Abuja",Jahi,,+2348032559203,,,,,,,,,,,,,"Twitter, Facebook, Instagram",simpres-logistics-and-co-ltd,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-065,Hanyi 360 Movers,Hanyi 360 Movers,,Logistics,movers,logistics,"Jabi, Abuja",Jabi,,+2348062464484,,,,50,basic,valid,YES,,,,,,Not searched,hanyi-360-movers,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-069,Interstate Ambulance Services,Interstate Ambulance Services,,logistics,ambulance,logistics,"Kubwa, Abuja",Kubwa,,+2348034348268,,,,50,basic,valid,YES,,,,,,Not searched,interstate-ambulance-services,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-098,Ola Express,Ola Express,,logistics,transport,logistics,"Garki, Abuja",Garki,,+2348100323989,,,,50,basic,valid,YES,,,,,,Not searched,ola-express,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-099,Ola Express (Alt),Ola Express (Alt),,logistics,transport,logistics,"Garki, Abuja",Garki,,+2347033528462,,,,50,basic,valid,YES,,,,,,Not searched,ola-express-alt,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-112,Pro Packers & Movers,Pro Packers & Movers,,Logistics,movers,logistics,"Wuse 2, Abuja",Wuse 2,,+2349073896565,,,,50,basic,valid,YES,,,,,,Not searched,pro-packers-and-movers,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-121,Rivers Transport Company Ltd,Rivers Transport Company Ltd,,logistics,transport,logistics,"Nyanya, Abuja",Nyanya,,+2348036603788,,,,50,basic,valid,YES,,,,,,Not searched,rivers-transport-company-ltd,2026-06-17T10:00:00Z
existing_db,MG-768e7caf-125,Royal Mails Express,Royal Mails Express,,Logistics,courier,logistics,"Wuse, Abuja",Wuse,,+2348028256419,,,,50,basic,valid,YES,,,,,,Not searched,royal-mails-express,2026-06-18T18:20:24.879385
existing_db,MG-768e7caf-136,Soldan Nigeria Limited,Soldan Nigeria Limited,,logistics,logistics,logistics,"Bwari, Abuja",Bwari,,+2347062043677,,,,50,basic,valid,YES,,,,,,Not searched,soldan-nigeria-limited,2026-06-17T10:00:00Z
