id,name,businessName,sector,subSector,industry,location,district,phone,email,website,source,score,enrichmentLevel,validationStatus,createdAt,slug,socialLinks,enriched,folder,stage,whatsapp,keyPeople_name,keyPeople_title,keyPeople_email,keyPeople_linkedin,keyPeople_phone,keyPeople_source,_sources,_key_name,_key_phone,_source,input_id,link,title,category,address,open_hours,plus_code,review_count,review_rating,latitude,longitude,cid,status,reviews_link,timezone,price_range,data_id,place_id,reservations,order_online,menu,owner,complete_address,credit_cards_accepted,about,emails
MG-768e7caf-053,Faxter,Faxter,logistics,,logistics / AI SaaS,"Jabi, Abuja",Jabi,+2349085287243,,,,,,,2026-06-17T10:00:00Z,faxter,"Facebook, LinkedIn",True,logistics/Faxter,discovered,,,,,,,,summary; registry,faxter,2349085287243,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-056,General and Health Logistics Intl,General and Health Logistics Intl,logistics,,logistics,"Idu, Abuja",Idu,+2348033039280,,,,,,,2026-06-17T10:00:00Z,general-and-health-logistics-intl,"LinkedIn, Facebook",True,logistics/General and Health Logistics Intl,discovered,,,,,,,,summary; registry,generalandhealthlogisticsintl,2348033039280,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-084,Malez Movers and Logistics,Malez Movers and Logistics,logistics,,logistics / moving and relocation,"Gwarimpa, Abuja",Gwarimpa,+2348036996812,,,,,,,2026-06-17T10:00:00Z,malez-movers-and-logistics,WhatsApp,True,logistics/Malez Movers and Logistics,discovered,,,,,,,,summary; registry,malezmoversandlogistics,2348036996812,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-087,Messenger Nigeria,Messenger Nigeria,logistics,,logistics / last-mile delivery,Abuja,Abuja,+2348074949847,,,,,,,2026-06-17T10:00:00Z,messenger-nigeria,"LinkedIn, Twitter, Facebook",True,logistics/Messenger Nigeria,discovered,,,,,,,,summary; registry,messengernigeria,2348074949847,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-092,Nairaxi,Nairaxi,logistics,,logistics / transport technology,"Wuse, Abuja",Wuse,+2348053682130,,,,,,,2026-06-17T10:00:00Z,nairaxi,"LinkedIn, Twitter, Facebook, Instagram, YouTube",True,logistics/Nairaxi,discovered,,,,,,,,summary; registry,nairaxi,2348053682130,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-127,SMWdrivers,SMWdrivers,logistics,,logistics / driver-platform,"Wuse, Abuja",Wuse,+2349071155555,,,,,,,2026-06-17T10:00:00Z,smwdrivers,Facebook,True,logistics/SMWdrivers,discovered,,,,,,,,summary; registry,smwdrivers,2349071155555,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-135,Simpres Logistics and Co Ltd,Simpres Logistics and Co Ltd,logistics,,logistics / car rental,"Jahi, Abuja",Jahi,+2348032559203,,,,,,,2026-06-17T10:00:00Z,simpres-logistics-and-co-ltd,"Twitter, Facebook, Instagram",True,logistics/Simpres Logistics and Co Ltd,discovered,,,,,,,,summary; registry,simpreslogisticsandcoltd,2348032559203,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-065,Hanyi 360 Movers,Hanyi 360 Movers,Logistics,movers,logistics,"Jabi, Abuja",Jabi,+2348062464484,,,finelib.com,50.0,basic,valid,2026-06-18T18:20:24.879385,hanyi-360-movers,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder,hanyi360movers,2348062464484,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-069,Interstate Ambulance Services,Interstate Ambulance Services,logistics,ambulance,logistics,"Kubwa, Abuja",Kubwa,+2348034348268,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,interstate-ambulance-services,Not searched,True,logistics/Interstate Ambulance Services,discovered,YES,Emmanuel Osemeke,Listing Owner / MBDFM,,,8034348268.0,websearch,summary; registry; folder,interstateambulanceservices,2348034348268,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-768e7caf-098,Ola Express,Ola Express,logistics,transport,logistics,"Garki, Abuja",Garki,+2348100323989,,,businesslist,50.0,basic,valid,2026-06-17T10:00:00Z,ola-express,Not searched,True,logistics/Ola Express,discovered,YES,Abejide Michael Olarewaju,Abuja Branch Manager,,linkedin.com/in/abejide-michael-91071ab6,,websearch,summary; registry; folder,olaexpress,2348100323989,logistics_leads,,,,,,,,,,,,,,,,,,,,,,,,,,
