id,name,businessName,sector,subSector,industry,location,district,phone,email,website,source,score,enrichmentLevel,validationStatus,createdAt,slug,socialLinks,enriched,folder,stage,whatsapp,keyPeople_name,keyPeople_title,keyPeople_email,keyPeople_linkedin,keyPeople_phone,keyPeople_source,_sources
MG-768e7caf-053,Faxter,Faxter,logistics,,logistics / AI SaaS,"Jabi, Abuja",Jabi,+2349085287243,,,,,,,2026-06-17T10:00:00Z,faxter,"Facebook, LinkedIn",True,logistics/Faxter,discovered,,,,,,,,summary; registry
MG-768e7caf-056,General and Health Logistics Intl,General and Health Logistics Intl,logistics,,logistics,"Idu, Abuja",Idu,+2348033039280,,,,,,,2026-06-17T10:00:00Z,general-and-health-logistics-intl,"LinkedIn, Facebook",True,logistics/General and Health Logistics Intl,discovered,,,,,,,,summary; registry
MG-768e7caf-072,,Jld Logistics Services,,,logistics,"Kubwa, Abuja",,,,,,,,,,jld-logistics-services,None found,True,,,,,,,,,,summary
MG-768e7caf-075,,Khome Global Logistics,,,logistics,"Dutse, Abuja",,,,,,,,,,khome-global-logistics,"Facebook, LinkedIn",True,,,,,,,,,,summary
MG-768e7caf-084,Malez Movers and Logistics,Malez Movers and Logistics,logistics,,logistics / moving and relocation,"Gwarimpa, Abuja",Gwarimpa,+2348036996812,,,,,,,2026-06-17T10:00:00Z,malez-movers-and-logistics,WhatsApp,True,logistics/Malez Movers and Logistics,discovered,,,,,,,,summary; registry
MG-768e7caf-087,Messenger Nigeria,Messenger Nigeria,logistics,,logistics / last-mile delivery,Abuja,Abuja,+2348074949847,,,,,,,2026-06-17T10:00:00Z,messenger-nigeria,"LinkedIn, Twitter, Facebook",True,logistics/Messenger Nigeria,discovered,,,,,,,,summary; registry
MG-768e7caf-092,Nairaxi,Nairaxi,logistics,,logistics / transport technology,"Wuse, Abuja",Wuse,+2348053682130,,,,,,,2026-06-17T10:00:00Z,nairaxi,"LinkedIn, Twitter, Facebook, Instagram, YouTube",True,logistics/Nairaxi,discovered,,,,,,,,summary; registry
MG-768e7caf-115,,Red Star Express Abuja,,,logistics / courier and freight,"Wuse, Abuja",,,,,,,,,,red-star-express-abuja,"LinkedIn, Twitter, Facebook, Instagram",True,,,,,,,,,,summary
MG-768e7caf-127,SMWdrivers,SMWdrivers,logistics,,logistics / driver-platform,"Wuse, Abuja",Wuse,+2349071155555,,,,,,,2026-06-17T10:00:00Z,smwdrivers,Facebook,True,logistics/SMWdrivers,discovered,,,,,,,,summary; registry
MG-768e7caf-134,,SimmySally Haulage & Logistics,,,logistics / haulage,"Garki, Abuja",,,,,,,,,,simmysally-haulage-and-logistics,Facebook,True,,,,,,,,,,summary
MG-768e7caf-135,Simpres Logistics and Co Ltd,Simpres Logistics and Co Ltd,logistics,,logistics / car rental,"Jahi, Abuja",Jahi,+2348032559203,,,,,,,2026-06-17T10:00:00Z,simpres-logistics-and-co-ltd,"Twitter, Facebook, Instagram",True,logistics/Simpres Logistics and Co Ltd,discovered,,,,,,,,summary; registry
MG-768e7caf-065,Hanyi 360 Movers,Hanyi 360 Movers,Logistics,movers,logistics,"Jabi, Abuja",Jabi,+2348062464484,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,hanyi-360-movers,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-069,Interstate Ambulance Services,Interstate Ambulance Services,logistics,ambulance,logistics,"Kubwa, Abuja",Kubwa,+2348034348268,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,interstate-ambulance-services,Not searched,True,logistics/Interstate Ambulance Services,discovered,YES,Emmanuel Osemeke,Listing Owner / MBDFM,,,08034348268,websearch,summary; registry; folder
MG-768e7caf-098,Ola Express,Ola Express,logistics,transport,logistics,"Garki, Abuja",Garki,+2348100323989,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,ola-express,Not searched,True,logistics/Ola Express,discovered,YES,Abejide Michael Olarewaju,Abuja Branch Manager,,linkedin.com/in/abejide-michael-91071ab6,,websearch,summary; registry; folder
MG-768e7caf-099,Ola Express (Alt),Ola Express (Alt),logistics,transport,logistics,"Garki, Abuja",Garki,+2347033528462,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,ola-express-alt,Not searched,True,logistics/Ola Express (Alt),discovered,YES,Abejide Michael Olarewaju,Abuja Branch Manager,,https://linkedin.com/in/abejide-michael-91071ab6,,websearch,summary; registry; folder
MG-768e7caf-112,Pro Packers & Movers,Pro Packers & Movers,Logistics,movers,logistics,"Wuse 2, Abuja",Wuse 2,+2349073896565,,,finelib.com,50,basic,valid,2026-06-18T18:20:24.879385,pro-packers-and-movers,Not searched,True,,,YES,Name not publicly listed,Owner/Manager,,,,websearch,summary; folder
MG-768e7caf-121,Rivers Transport Company Ltd,Rivers Transport Company Ltd,logistics,transport,logistics,"Nyanya, Abuja",Nyanya,+2348036603788,,,businesslist,50,basic,valid,2026-06-17T10:00:00Z,rivers-transport-company-ltd,Not searched,True,logistics/Rivers Transport Company Ltd,discovered,YES,Rivers State Government,Owner (State-owned),,,,websearch,summary; registry; folder
